,EXT_SOURCE_MEAN,EXT_23_PRODUCT,EXT_MAX,EXT_123_PRODUCT,EXT_13_PRODUCT,EXT_MIN,EXT_SOURCE_3,EXT_12_PRODUCT,EXT_SOURCE_2,EXT_SOURCE_1,CC_UTILIZATION_MEAN,BUREAU_DAYS_CREDIT_MEAN,CC_BALANCE_MEAN,BB_MONTHS_COUNT_MEAN,DAYS_BIRTH,AGE_YEARS,PREV_REFUSAL_RATE,BUREAU_ACTIVE_SHARE,BUREAU_DAYS_CREDIT_MIN,DAYS_EMPLOYED,INST_RECENT_365_DPD_MAX,INST_UNDERPAY_RATE,EMPLOYED_BIRTH_RATIO,BUREAU_ACTIVE_COUNT,TARGET
CC_UTILIZATION_MEAN,-0.1700125185553881,-0.18361644344059394,-0.13914163127312423,-0.1697859836501266,-0.18195262914948176,-0.15296380176942406,-0.20836796087645135,-0.10585400089097553,-0.08163525919741138,-0.09561045970713619,1.0,0.09624980216311475,0.6847766735145664,-0.056006051472628895,0.07389766600726703,-0.07389766600726716,0.14961226134230532,0.14657208482982118,0.07977879909278693,0.04955782514862426,0.14704392636109395,0.026636270271455615,-0.03984583189580312,0.1232416116174285,0.1437651497585453
BUREAU_DAYS_CREDIT_MEAN,-0.3153639446008069,-0.3354704996976474,-0.2820484124064491,-0.33134321774042125,-0.36895889012968874,-0.26163327999217656,-0.40175260449817546,-0.19172961131509828,-0.10324425704646889,-0.20180017210099957,0.09624980216311475,1.0,0.029369622354340683,-0.820052669317229,0.20313455421574678,-0.20313455421574805,0.04300951316270744,0.5003190254764773,0.8019562613540127,0.15999582181871605,0.013747682787965317,-0.010432971753906515,-0.12537630829537813,0.15063630296610883,0.08972896721997997
CC_BALANCE_MEAN,-0.061353462282389915,-0.08664618235434883,-0.03988665298349903,-0.07342663233987473,-0.09115577295347568,-0.06570654491774539,-0.12251751808237356,-0.014746823652784763,-0.002369202684087411,-0.021544523718239974,0.6847766735145664,0.029369622354340683,1.0,-0.0011229755142086414,0.05387231336843748,-0.053872313368437695,0.09105990639166557,0.08692724546771259,0.028265720731238658,0.017220419574321022,0.09663403971202808,0.02340437498236542,-0.01157513402990428,0.07573706019904199,0.08661619395578352
BB_MONTHS_COUNT_MEAN,0.28590598556514923,0.30679260557930876,0.25596384027535096,0.2966119283630306,0.32555477120402065,0.23533304388666795,0.36357313630416216,0.1629950918285884,0.0934811789609323,0.16133339801789945,-0.056006051472628895,-0.820052669317229,-0.0011229755142086414,1.0,-0.16056819120003438,0.1605681912000322,-0.041806672061785476,-0.41031478805586763,-0.5819322304421498,-0.1301610852789952,-0.00578660736765587,0.016932336348399954,0.10077140596852856,-0.1842653547159286,-0.08019279487546772
DAYS_BIRTH,-0.2798633827064503,-0.182668281589062,-0.21643404400567143,-0.43697277201749224,-0.505040774935618,-0.26398272410765605,-0.2054776029977802,-0.4769173141902577,-0.09199587015386387,-0.600609973950311,0.07389766600726703,0.20313455421574678,0.05387231336843748,-0.16056819120003438,1.0,-1.000000000000008,0.03130635354234479,0.11611427173512744,0.22503290192146166,0.35232088278856116,0.003914742983883574,0.03501915487359319,-0.1379211506286935,0.005318961110511611,0.07823930830983095
AGE_YEARS,0.2798633827064437,0.18266828158906115,0.21643404400566768,0.4369727720174975,0.5050407749356229,0.26398272410766,0.20547760299778983,0.47691731419025307,0.09199587015386407,0.600609973950311,-0.07389766600726716,-0.20313455421574805,-0.053872313368437695,0.1605681912000322,-1.000000000000008,1.0,-0.0313063535423448,-0.11611427173512687,-0.22503290192146555,-0.3523208827885681,-0.003914742983883471,-0.03501915487359296,0.13792115062868812,-0.0053189611105129,-0.07823930830982469
PREV_REFUSAL_RATE,-0.12376078415862826,-0.15468328121127337,-0.08791791959234911,-0.13609364872008547,-0.15327487759391087,-0.12261927688351928,-0.19473048172244772,-0.05486533626621126,-0.03902353633348081,-0.051708769144395504,0.14961226134230532,0.04300951316270744,0.09105990639166557,-0.041806672061785476,0.03130635354234479,-0.0313063535423448,1.0,0.036639722092442366,-0.00763418400887549,0.0344107983987929,0.033634012417301726,0.07493686768161467,-0.03357969940191714,0.14119671803448788,0.07767144969646188
BUREAU_ACTIVE_SHARE,-0.2355175588851614,-0.26334530313291665,-0.2142626735369594,-0.22239256565907312,-0.2667310322833421,-0.1928211219972198,-0.3575321937673447,-0.08270352243430425,-0.041301075027420815,-0.09525205369021308,0.14657208482982118,0.5003190254764773,0.08692724546771259,-0.41031478805586763,0.11611427173512744,-0.11611427173512687,0.036639722092442366,1.0,0.4238075626010919,0.076307098354231,0.025080262593196817,0.022953091149851557,-0.06349163364570938,0.38225976598871314,0.07735577958544355
BUREAU_DAYS_CREDIT_MIN,-0.23273644317934264,-0.20944612856096556,-0.22996387419898606,-0.239407695734002,-0.26381555248124233,-0.17379417773262168,-0.2263484554736766,-0.19861719091374505,-0.1013673909919458,-0.21988248711271974,0.07977879909278693,0.8019562613540127,0.028265720731238658,-0.5819322304421498,0.22503290192146166,-0.22503290192146555,-0.00763418400887549,0.4238075626010919,1.0,0.21220438828648922,0.021358532848094233,-0.00733237674023926,-0.17709160544448563,-0.19208625025256135,0.0752482510301028
DAYS_EMPLOYED,-0.17978479260291869,-0.14235870456027055,-0.15749233685232134,-0.22170600836376414,-0.23983503525081204,-0.15334179243197013,-0.1297216966659496,-0.2201422900181086,-0.09344429445057285,-0.2527116565308188,0.04955782514862426,0.15999582181871605,0.017220419574321022,-0.1301610852789952,0.35232088278856116,-0.3523208827885681,0.0344107983987929,0.076307098354231,0.21220438828648922,1.0,0.0119183285213613,0.020327069350084537,-0.9546794111020165,-0.0822019301103995,0.07495845742544051
INST_RECENT_365_DPD_MAX,-0.06735953563804847,-0.07907916834652741,-0.059174394386378455,-0.06837023363063063,-0.07043954438987952,-0.057193299095791954,-0.08375296553315564,-0.038810796286681916,-0.03805908505029888,-0.02945589984749624,0.14704392636109395,0.013747682787965317,0.09663403971202808,-0.00578660736765587,0.003914742983883574,-0.003914742983883471,0.033634012417301726,0.025080262593196817,0.021358532848094233,0.0119183285213613,1.0,0.3472002993702659,-0.010947332035695957,0.0011959981165341072,0.0725715972624723
INST_UNDERPAY_RATE,-0.08252843498276066,-0.09930021163375376,-0.05931631965858617,-0.09583813261082702,-0.10599375847870494,-0.08132766939465814,-0.11831359023975734,-0.044138277992666154,-0.03019962350795111,-0.04126071741682448,0.026636270271455615,-0.010432971753906515,0.02340437498236542,0.016932336348399954,0.03501915487359319,-0.03501915487359296,0.07493686768161467,0.022953091149851557,-0.00733237674023926,0.020327069350084537,0.3472002993702659,1.0,-0.011824321408490842,0.017771815967415772,0.06796355660024044
EMPLOYED_BIRTH_RATIO,0.12799640204580387,0.11235870515550268,0.11969585276964798,0.13921678492391457,0.1478840058591809,0.1023158709095977,0.10381014685435605,0.12627284428095023,0.07215177380958776,0.13885442720199115,-0.03984583189580312,-0.12537630829537813,-0.01157513402990428,0.10077140596852856,-0.1379211506286935,0.13792115062868812,-0.03357969940191714,-0.06349163364570938,-0.17709160544448563,-0.9546794111020165,-0.010947332035695957,-0.011824321408490842,1.0,0.0842802926225924,-0.06795454075818758
BUREAU_ACTIVE_COUNT,-0.20615429017109718,-0.2687486962328622,-0.13772409159938645,-0.18913180515715872,-0.2285604593739901,-0.21252583665599836,-0.3905911655729497,0.012174966396690955,-0.002597590247722745,0.02743236524299786,0.1232416116174285,0.15063630296610883,0.07573706019904199,-0.1842653547159286,0.005318961110511611,-0.0053189611105129,0.14119671803448788,0.38225976598871314,-0.19208625025256135,-0.0822019301103995,0.0011959981165341072,0.017771815967415772,0.0842802926225924,1.0,0.06712815345642847
TARGET,-0.2220519555735911,-0.1994865836913118,-0.19687609781973162,-0.18855210092145977,-0.18783159920201478,-0.18526619522051707,-0.17891869762836912,-0.1755747216774738,-0.16047167160520673,-0.15531712606395018,0.1437651497585453,0.08972896721997997,0.08661619395578352,-0.08019279487546772,0.07823930830983095,-0.07823930830982469,0.07767144969646188,0.07735577958544355,0.0752482510301028,0.07495845742544051,0.0725715972624723,0.06796355660024044,-0.06795454075818758,0.06712815345642847,1.0
